Year,Bangladesh,Brazil,China,India,Indonesia,Nigeria,Pakistan,Russia,United States
1955,42086301,62533919,612241554,409880595,77273425,41086100,40488030,111355300,171685336
1960,48013504,72179226,660408056,450547679,87751068,45138458,44988690,119871700,186720571
1965,55385112,83373530,724218968,499123324,100267062,50127921,50917975,126503736,199733676
1970,64232482,95113265,827601394,555189792,114793178,55982144,58142060,130148653,209513341
1975,70066301,107216205,926240885,623102897,130680727,63374298,66816877,133804858,219081251
1980,79639491,120694009,1000089235,698952844,147447836,73423633,78054343,138053150,229476354
1985,90764183,135274080,1075589361,784360008,164982451,83562785,92191510,142957284,240499825
1990,103171956,149003223,1176883674,873277798,181413402,95212450,107647921,147531561,252120309
1995,115169930,162019896,1240920535,963922588,196934260,107948335,123776839,148227466,265163745
2000,127657854,174790340,1290550765,1056575549,211513823,122283850,142343578,146404903,281710909
2005,139035505,186127103,1330776380,1147609927,226289470,138865016,160304008,143672116,294993511
2010,147575430,195713635,1368810615,1234281170,241834215,158503197,179424641,143479274,309011475
2015,156256276,204471769,1406847870,1310152403,258383256,181137448,199426964,144985057,320878310
2016,157977153,206163053,1414049351,1324517249,261556381,185960241,203631353,145275383,323015995
2017,159685424,207833823,1421021791,1338676785,264650963,190873244,207906209,145530082,325084756
2018,161376708,209469323,1427647786,1352642280,267670543,195874683,212228286,145734038,327096265
2019,163046161,211049527,1433783686,1366417754,270625568,200963599,216565318,145872256,329064917
2020,164689383,212559417,1439323776,1380004385,273523615,206139589,220892340,145934462,331002651
